circuitdata_material_db_id,manufacturer,name,ipc_standard,ipc_slash_sheet,tg_min,dk,ul_94,cti,df,td_min,t260,t280,t300,mot,z_cte,z_cte_before_tg,z_cte_after_tg,dielectric_breakdown,water_absorption,thermal_conductivity,,ipc_sm_840_class,electric_strength
,Kingboard,KB2151,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB3150,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB3150CT,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB3151,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB3152,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB2150G,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB6160,4101,21,135,4.58,,,,305,,,,,,58,286,,,,,,
,Kingboard,KB3153,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB6164F,4101,101,140,4.8,,,,325,,42.5,,,,45,260,,,,,,
,Kingboard,KB6165,4101,124,150,4.65,,,,335,,23,,,,55,287,,,,,,
,Kingboard,HF-140,4101,127,140,4.6,,,,340,,3,,,,56,280,,,,,,
,Kingboard,KB-6164,4101,27,140,4.5,,,,305,,3,,,,54,286,,,,,,
,Kingboard,KB-7150,4101,,,4.5,,,,,,,,,,,,,,,,,
,Kingboard,KB-7150C,4101,,,,,,,,,,,,,,,,,,,,
,Kingboard,KB-6165F,4101,101,150,4.8,,,,325,,23.5,,,,49,238,,,,,,
,Kingboard,KB-6167F,4101,,170,4.8,,,,340,,32.3,,,,49,208,,,,,,
,Kingboard,KB-5150,4101,10,,,,,,,,,,,,,,,,,,,
,Kingboard,KB6160A,4101,21,135,4.5,,,,305,,,,,,58,286,,,,,,
,Kinwong,KW-ALE,4101,2,,,,,,,,,,,,,,,,,,,
,Kinwong,KW-ALG,4101,,,,,,,,,,,,,,,,,,,,
,Laird,Tlam ML 1KA,4101,,105,,,,,,,,,,,,,,,,,,
,Laird,Tlam SS 1KA,4101,,105,,,,,,,,,,,,,,,,,,
,Laird,Tlam SS LLD,4101,,165,,,,,,,,,,,,,,,,,,
,Laird,Tlam SS HTD (2.2w),4101,,168,,,,,,,,,,,,,,,,,,
,Lamitec-Dielektra GmbH,15193pttc conductive material,4101,,,,,,,,,,,,,,,,,,,,
,Mitsubishi,HL820NS,4101,,255,4.2,,,,,,,,,,,,,,,,,
,Mitsubishi,EL230T,4101,,175,4,,,,335,,12,,,,45,240,,,,,,
,Mitsubishi,EL190T,4101,,215,4.7,,,,345,,20,,,,40,180,,,,,,
,Mitsubishi,EL190T M,4101,,215,4.1,,,,345,,20,,,,45,200,,,,,,
,MSC Polymer,TC-Lam 1.3,4101,,100,,,,,,,,,,,,,,,,,,
,MSC Polymer,TC-Lam 2.0,4101,,100,,,,,,,,,,,,,,,,,,
,MSC Polymer,"TC-Lam 1,8",4101,,170,,,,,,,,,,,,,,,,,,
,MSC Polymer,TC-Lam 3.0,4101,,100,,,,,,,,,,,,,,,,,,
,MSC Polymer,TC-Lam 4.0,4101,,100,,,,,,,,,,,,,,,,,,
,MSC Polymer,TC-Lam 5.0,4101,,100,,,,,,,,,,,,,,,,,,
b4871c0a-d0f4-4087-b6ce-0492298360d9,,FR-4 semiflex,4101,21,,,,,,,,,,,,,,,,,,,
,Nam Hing,NHL-4806,4101,,,,,,,,,,,,,,,,,,,,
,Nanmei,NWFR-4,4101,,,,,,,,,,,,,,,,,,,,
,Nanmei,NWFR-4UV,4101,,,,,,,,,,,,,,,,,,,,
,Nanya,NPG-180,4101,,180,4.8,,,,380,,60,,,,32,160,,,,,,
,Nanya,CEM-3-01PY,4101,,110,4.5,,,,,,,,,,40,220,,,,,,
,Nanya,FR-4-86,4101,21,140,4.7,,,,310,,,,,,,,,,,,,
,Nanya,NP-140 TL/B,4101,21,140,4.2,,,,,,,,,,60,300,,,,,,
,Nanya,NP-140M TL/B,4101,101,135,4.2,,,,325,,5,,,,55,280,,,,,,
,Nanya,NP-155F R/TL/B,4101,99,150,4.2,,,,150,,20,,,,50,260,,,,,,
,Nanya,NP-170 R/TL/B,4101,126,173,4.2,,,,314,,3,,,,50,275,,,,,,
,Nanya,NP-175F R/TL/B,4101,126,175,4.2,,,,351,,20,,,,50,220,,,,,,
,Nanya,NP-180 R/TL/B,4101,,180,4.36,,,,359,,40,,,,50,255,,,,,,
,Nanya,NPG-150 R/TL/B,4101,126,150,4.3,,,,348,,20,,,,35,210,,,,,,
,Nanya,NPG-170 R/TL/B,4101,,170,4.3,,,,355,,20,,,,35,210,,,,,,
,Nanya,NPG-180 TL/B,4101,,210,4.8,,,,380,,60,,,,323,160,,,,,,
,Nanya,NPG-TL,4101,,,,,,,,,,,,,,,,,,,,
,Nanya,NPG-TL,4101,126,150,4,,,,,,,,,,50,230,,,,,,
,Nanya,NPGN-170 R/TL/B,4101,131,170,4.3,,,,355,,20,,,,35,210,,,,,,
,Nanya,NPN 150F/NPHTB,4101,,,,,,,,,,,,,,,,,,,,
,Nelco,N4000-11,4101,99,175,4.3,,,,345,,10,,,,65,265,,,,,,
,Nelco,N4000-12,4101,29,190,3.7,,,,350,,60,,,,60,260,,,,,,
,Nelco,N4000-13EP,4101,29,210,3.6,,,,350,,10,,,,65,275,,,,,,
,Nelco,N4000-13EPSI,4101,29,210,3.7,,,,350,,10,,,,65,275,,,,,,
,Nelco,N4000-13SI,4101,29,210,3.7,,,,350,,10,,,,70,280,,,,,,
,Nelco,N4000-2,4101,21,140,4.3,,,,300,,10,,,,,,,,,,,
,Nelco,N4000-29,4101,126,180,4.5,,,,350,,15,,,,55,265,,,,,,
,Nelco,N4000-29BC,4101,126,150,4.1,,,,350,,15,,,,,,,,,,,
,Nelco,N4000-6FC,4101,26,175,4.3,,,,325,,10,,,,70,320,,,,,,
,Nelco,N4000-7,4101,98,155,4.5,,,,330,,10,,,,50,270,,,,,,
,Nelco,N4000-7 EF,4101,94,165,4.1,,,,425,,4,,,,65,250,,,,,,
,Nelco,N4000-7SI,4101,98,155,4,,,,330,,10,,,,50,260,,,,,,
,Nelco,N5000,4101,30,175,3.8,,,,334,,12,,,,,,,,,,,
,Nelco,N6800-22,4101,91,175,3.7,,,,390,,120,,,,55,260,,,,,,
,Nelco,N7000,4101,42,260,3.8,,,,,,,,,,,,,,,,,
